"LATITUDE","total_hotspot","avg_brightness","avg_frp","max_frp"
-4.14987,1,334.41,12.04,12.04
-4.14956,1,337.79,5.6,5.6
-4.14934,1,339.57,5.47,5.47
-4.14808,1,330.29,2.7,2.7
-4.14131,1,332.12,3.74,3.74
-4.14121,1,335.5,3.8,3.8
-4.14111,1,340.79,4.33,4.33
-4.13635,1,334.02,6.41,6.41
-4.13502,1,330.77,5.84,5.84
-4.13225,1,332.58,3.74,3.74
-4.12935,1,331,3.02,3.02
-4.12904,1,350.9,6.2,6.2
-4.12858,1,332.11,8.99,8.99
-4.12844,1,342.39,2.63,2.63
-4.12792,1,342.89,10.14,10.14
-4.12366,1,333.37,8.19,8.19
-4.1218,1,332.26,3.82,3.82
-4.12159,1,336.31,5.39,5.39
-4.11879,1,304.66,0.86,0.86
-4.11795,1,333.38,2.38,2.38
-4.11605,1,337.95,5.84,5.84
-4.11493,1,332.63,4.08,4.08
-4.1144,1,341.86,8.95,8.95
-4.1137,1,311,1.06,1.06
-4.1136,1,303.77,0.51,0.51
-4.11222,1,367,13.27,13.27
-4.11186,1,341.2,6.36,6.36
-4.11109,1,310.17,1.06,1.06
-4.10848,1,301.53,1.06,1.06
-4.10795,1,335.24,3.83,3.83
-4.10711,1,350.09,14.54,14.54
-4.10666,1,303.47,1.72,1.72
-4.10096,1,337.09,3.39,3.39
-4.09471,1,330.64,3.66,3.66
-4.09409,1,332.47,6.64,6.64
-4.09365,1,328.3,6.22,6.22
-4.09233,1,353.56,6.58,6.58
-4.08997,1,303.56,0.62,0.62
-4.08956,1,351.4,7.53,7.53
-4.08864,1,367,6.37,6.37
-4.08787,1,337.32,6.67,6.67
-4.08122,1,338.23,7.31,7.31
-4.07621,1,306.71,1.39,1.39
-4.07611,1,341.91,12.87,12.87
-4.07501,1,330.71,2.83,2.83
-4.0673,1,304.83,1.87,1.87
-4.06724,1,302.66,1.37,1.37
-4.05628,1,337.83,2.7,2.7
-4.05594,1,330.4,3.17,3.17
-4.0559,1,300.55,1.19,1.19
-4.04896,1,338.77,5.64,5.64
-4.04808,1,341.19,28.09,28.09
-4.04802,1,331.46,2.61,2.61
-4.04489,1,303.39,1.1,1.1
-4.03553,1,333.49,8.7,8.7
-4.02964,1,331.09,2.92,2.92
-4.0257,1,329.37,4.19,4.19
-4.0243,1,305.46,0.68,0.68
-4.02372,1,330.29,1.58,1.58
-4.01881,1,341.2,4.14,4.14
-4.01852,1,332.86,2.91,2.91
-4.01818,1,344.48,17.8,17.8
-4.0172,1,340.48,13.27,13.27
-4.0155,1,328.53,4.72,4.72
-4.01435,1,306.31,1.35,1.35
-4.00974,1,335.19,2.95,2.95
-4.00618,1,305.58,2.04,2.04
-4.00593,1,338.59,11.7,11.7
-4.00584,1,349.59,11.7,11.7
-4.00529,1,342.28,27.38,27.38
-4.00361,1,333.32,3.11,3.11
-4.00186,1,346.08,16.65,16.65
-3.99934,1,322.33,2.62,2.62
-3.98163,1,328.04,1.82,1.82
-3.98159,1,346.93,7.72,7.72
-3.98113,1,342.1,9.96,9.96
-3.98091,1,340.17,3.51,3.51
-3.97935,1,309.42,1.4,1.4
-3.9783,1,304.48,0.97,0.97
-3.97791,1,332.64,2.66,2.66
-3.97785,1,311.12,1.73,1.73
-3.97683,1,337.3,6.25,6.25
-3.97394,1,330.98,3.59,3.59
-3.96647,1,330.95,2.9,2.9
-3.96367,1,336.55,5.61,5.61
-3.96,1,329.11,1.32,1.32
-3.95709,1,330.78,2.4,2.4
-3.95454,1,343.14,10.13,10.13
-3.95374,1,322.92,2.01,2.01
-3.95195,1,329.48,3.21,3.21
-3.95174,1,337.2,7.97,7.97
-3.94999,1,332.91,4.39,4.39
-3.94409,1,332.84,3.63,3.63
-3.93747,1,335.59,13.59,13.59
-3.93692,1,346.63,13.59,13.59
-3.93673,1,333.36,7.62,7.62
-3.93537,1,339.88,1.77,1.77
-3.93356,1,340.66,7.14,7.14
-3.93152,1,335.37,11.29,11.29
-3.93129,1,332.61,6.35,6.35
-3.93104,1,334.19,4.63,4.63
-3.92982,1,300.8,0.75,0.75
-3.9283,1,331.42,6.09,6.09
-3.92771,1,341.7,7,7
-3.92677,1,328.98,3.39,3.39
-3.92585,1,332.12,11.02,11.02
-3.92395,1,334.26,5.75,5.75
-3.92071,1,346.63,7.91,7.91
-3.91356,1,367,25.05,25.05
-3.91182,1,367,61.6,61.6
-3.90753,1,334.66,9.03,9.03
-3.90702,1,301.26,0.91,0.91
-3.89577,1,339.77,8.35,8.35
-3.89494,1,306.22,0.75,0.75
-3.88783,1,334.43,2.94,2.94
-3.88522,1,345.43,28.24,28.24
-3.8826,1,306.65,0.57,0.57
-3.88147,1,349.25,6.4,6.4
-3.88123,1,304.97,0.67,0.67
-3.87942,1,367,8.7,8.7
-3.87907,1,306.52,1.38,1.38
-3.87856,1,331.66,4.21,4.21
-3.87791,1,342.47,5.29,5.29
-3.87089,1,301.9,1.4,1.4
-3.86728,1,310.19,1.4,1.4
-3.86012,1,339.21,8.03,8.03
-3.85976,1,316.02,1.77,1.77
-3.85888,1,341.74,10.75,10.75
-3.855,1,303.46,1.72,1.72
-3.85483,1,334.85,3.76,3.76
-3.85464,1,346.48,8.46,8.46
-3.85437,1,302.36,0.62,0.62
-3.85409,1,341.99,26.01,26.01
-3.85391,1,333.54,1.59,1.59
-3.85309,1,207.93,67.92,67.92
-3.85073,1,305.22,1.45,1.45
-3.8495,1,328.61,4.66,4.66
-3.84562,1,305.55,0.52,0.52
-3.84544,1,337.78,4.86,4.86
-3.84508,1,306.27,0.67,0.67
-3.84454,1,311.39,1.47,1.47
-3.844,1,300.79,0.64,0.64
-3.84351,1,339.75,3.61,3.61
-3.84346,1,303.78,0.93,0.93
-3.84336,1,332.02,3.67,3.67
-3.84282,1,332.17,15.59,15.59
-3.84229,1,299.32,1.42,1.42
-3.84175,1,306.98,0.69,0.69
-3.84122,1,306.39,0.92,0.92
-3.84093,1,329.36,1.79,1.79
-3.84018,1,330.77,3.48,3.48
-3.83988,1,333.26,3.92,3.92
-3.83947,1,336.14,8.81,8.81
-3.83542,1,300.01,0.73,0.73
-3.83208,1,300.69,0.73,0.73
-3.83147,1,307.1,0.6,0.6
-3.8278,1,333.2,5.97,5.97
-3.82315,1,303.1,0.52,0.52
-3.82302,1,356.01,7.31,7.31
-3.82279,1,309.72,0.52,0.52
-3.82121,1,345.13,7.31,7.31
-3.82075,1,340.1,10.31,10.31
-3.81963,1,303.11,0.67,0.67
-3.81723,1,335.12,5.2,5.2
-3.81577,1,336.21,5.29,5.29
-3.81515,1,346.44,11.18,11.18
-3.81508,1,343.47,16.89,16.89
-3.81463,1,334.03,2.97,2.97
-3.81426,1,330.96,2.18,2.18
-3.81251,1,333.69,4.39,4.39
-3.81229,1,348.06,4.11,4.11
-3.80885,1,337.85,6.77,6.77
-3.80856,1,333.13,6.81,6.81
-3.8084,1,340.28,5.71,5.71
-3.80834,1,339.01,16.92,16.92
-3.80824,1,329.88,5.52,5.52
-3.80819,1,331.72,6.92,6.92
-3.80806,1,336.4,5.63,5.63
-3.80793,1,329.15,1.56,1.56
-3.80789,1,337.03,4.38,4.38
-3.80782,1,339.63,4.01,4.01
-3.80765,1,332.98,6.57,6.57
-3.80758,1,332.67,2.77,2.77
-3.80745,1,346.99,8.4,8.4
-3.80744,1,340.27,3.2,3.2
-3.80732,1,312.81,1.34,1.34
-3.80727,1,331.9,4.49,4.49
-3.80722,1,333.93,15.49,15.49
-3.80691,1,304.85,0.57,0.57
-3.8065,1,351.88,27.38,27.38
-3.80646,1,337.13,33.86,33.86
-3.80644,1,304.4,1.64,1.64
-3.80636,1,300.53,1.43,1.43
-3.80627,1,329.31,2.3,2.3
-3.80624,1,312.19,1.65,1.65
-3.80603,1,339.24,3.87,3.87
-3.806,1,338.01,4.85,4.85
-3.8059,1,335.18,27.38,27.38
-3.80578,1,332.49,4.35,4.35
-3.80577,1,339.41,20.91,20.91
-3.80554,1,343.01,5.67,5.67
-3.80546,1,301.89,1.47,1.47
-3.80541,1,331.31,5.91,5.91
-3.80514,1,330.86,1.8,1.8
-3.8049,1,308.5,1.07,1.07
-3.80488,1,332.64,3.34,3.34
-3.80487,1,352.98,15.74,15.74
-3.80445,1,305.94,0.77,0.77
-3.80435,1,339.05,3.78,3.78
-3.80427,1,327.82,2.49,2.49
-3.80423,1,330.66,2.24,2.24
-3.8038,1,331.96,2.28,2.28
-3.80334,1,330.26,2.11,2.11
-3.80298,1,351.61,56.44,56.44
-3.80259,1,341.1,3.87,3.87
-3.80237,1,345.96,7.28,7.28
-3.80224,1,338.15,9.12,9.12
-3.80164,1,334.56,2.74,2.74
-3.80156,1,333.36,2.4,2.4
-3.80084,1,315.9,2.79,2.79
-3.80076,1,331.39,4.35,4.35
-3.79962,1,338.72,6.33,6.33
-3.79804,1,345.71,4.14,4.14
-3.79513,1,306.22,0.6,0.6
-3.79477,1,339.99,4.55,4.55
-3.79261,1,302.09,0.51,0.51
-3.79169,1,333.39,3.42,3.42
